Dataset,Domain URI,Domain,Predicate URI,Predicate,Range URI,Range,Property kind,Predicate namespace
YAGO,http://schema.org/Place,Place,http://yago-knowledge.org/resource/area,area,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Airport,Airport,http://schema.org/iataCode,iataCode,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/Airport,Airport,http://schema.org/icaoCode,icaoCode,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/author,author,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/author,author,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/about,about,http://schema.org/Thing,Thing,object,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#date,date,datatype,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#gYearMonth,gYearMonth,datatype,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#gYear,gYear,datatype,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/award,award,http://yago-knowledge.org/resource/Award,Award,object,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/inLanguage,inLanguage,http://schema.org/Language,Language,object,http://schema.org/
YAGO,http://schema.org/CreativeWork,CreativeWork,http://schema.org/contentLocation,contentLocation,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/Newspaper,Newspaper,http://schema.org/sponsor,sponsor,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/Newspaper,Newspaper,http://schema.org/sponsor,sponsor,http://schema.org/Person,Person,object,http://schema.org/
